notation	description	uri
AK 14000 - AK 14900	Organisationsformen, Standesfragen	https://th-wildau.de/rvk-short/AK14000-AK14900
AK 15000 - AK 15800	Nachschlagewerke, Allgemeine Darstellungen	https://th-wildau.de/rvk-short/AK15000-AK15800
AK 16000 - AK 18600	Biografien, Geschichte	https://th-wildau.de/rvk-short/AK16000-AK18600
AK 20000 - AK 20800	Wissenschaftstheorie	https://th-wildau.de/rvk-short/AK20000-AK20800
AK 22000 - AK 22900	Logik der Wissenschaft	https://th-wildau.de/rvk-short/AK22000-AK22900
AK 24000 - AK 24800	Theorie und Praxis, Technologieproblem	https://th-wildau.de/rvk-short/AK24000-AK24800
AK 25000 - AK 25400	Forschungsmethoden	https://th-wildau.de/rvk-short/AK25000-AK25400
AK 26000 - AK 26800	Wissenschaftserforschung, -psychologie, -soziologie	https://th-wildau.de/rvk-short/AK26000-AK26800
AK 27000 - AK 27900	Beziehungen, Ausstrahlungen, Einwirkungen	https://th-wildau.de/rvk-short/AK27000-AK27900
AK 28000 - AK 28900	Wissenschaftspraxis	https://th-wildau.de/rvk-short/AK28000-AK28900
AK 29000 - AK 29700	Wissenschaftspolitik	https://th-wildau.de/rvk-short/AK29000-AK29700
AK 30000 - AK 31000	Wissenschaftsplanung, -förderung und -management	https://th-wildau.de/rvk-short/AK30000-AK31000
AK 33000 - AK 37950	Wissenschaft in einzelnen Ländern	https://th-wildau.de/rvk-short/AK33000-AK37950
AK 39500 - AK 39950	Technik der wissenschaftlichen Arbeit	https://th-wildau.de/rvk-short/AK39500-AK39950
AK 40000 - AK 49900	Akademien der Wissenschaften	https://th-wildau.de/rvk-short/AK40000-AK49900
AK 50000 - AK 50900	Wissenschaftliche Institutionen und Gesellschaften, Stiftungen	https://th-wildau.de/rvk-short/AK50000-AK50900
AK 51000 - AK 53900	Einzelne Institutionen	https://th-wildau.de/rvk-short/AK51000-AK53900
AK 54000 - AK 54599	Digitalität und Wissenschaft, Digitale Wissenschaft, Digitale Transformation der Wissenschaft, E-Science, Digital Humanities, eHumanities	https://th-wildau.de/rvk-short/AK54000-AK54599
AK 80000 - AK 89990	Museumswesen, Museologie, Museumswissenschaft	https://th-wildau.de/rvk-short/AK80000-AK89990
AK 80000 - AK 81850	Bibliografien und Sammelschriften	https://th-wildau.de/rvk-short/AK80000-AK81850
AK 82000 - AK 82800	Organisationsform, Standesfragen, Forschung	https://th-wildau.de/rvk-short/AK82000-AK82800
AK 83000 - AK 83800	Nachschlagewerke, Allgemeine Darstellungen	https://th-wildau.de/rvk-short/AK83000-AK83800
AK 84000 - AK 85090	Biografie, Geschichte	https://th-wildau.de/rvk-short/AK84000-AK85090
AK 85100 - AK 85900	Museumstheorie, Beziehungen	https://th-wildau.de/rvk-short/AK85100-AK85900
AK 86000 - AK 86800	Museumspraxis	https://th-wildau.de/rvk-short/AK86000-AK86800
AK 87000 - AK 87500	Bestandspflege	https://th-wildau.de/rvk-short/AK87000-AK87500
AK 87800 - AK 87899	Museumswesen in einzelnen Ländern	https://th-wildau.de/rvk-short/AK87800-AK87899
AK 88000 - AK 89990	Einzelne Museen	https://th-wildau.de/rvk-short/AK88000-AK89990
