notation	description	uri
GD 6980 - GD 6986	Binnensprachinseln	https://th-wildau.de/rvk-short/GD6980-GD6986
GD 7001 - GD 8629	Auslanddeutsche Mundarten und Sprachen mit deutschen Sprachelementen	https://th-wildau.de/rvk-short/GD7001-GD8629
GD 8650 - GD 8990	Sondersprachen, Fachsprachen	https://th-wildau.de/rvk-short/GD8650-GD8990
GD 9001 - GD 9999	Namenkunde	https://th-wildau.de/rvk-short/GD9001-GD9999
GE 1905 - GE 2800	Germanische Literaturen	https://th-wildau.de/rvk-short/GE1905-GE2800
GE 1905	Allgemeines	https://th-wildau.de/rvk-short/GE1905
GE 1910	Literaturwissenschaft	https://th-wildau.de/rvk-short/GE1910
GE 1912	Literaturpsychologie	https://th-wildau.de/rvk-short/GE1912
GE 1914	Literatursoziologie	https://th-wildau.de/rvk-short/GE1914
GE 1915 - GE 1949	Literaturtheorie (Poetik)	https://th-wildau.de/rvk-short/GE1915-GE1949
GE 1951 - GE 1998	Literaturgeschichte	https://th-wildau.de/rvk-short/GE1951-GE1998
GE 2002 - GE 2800	Altgermanische Literatur	https://th-wildau.de/rvk-short/GE2002-GE2800
GE 3003 - GT 1500	Deutsche Literatur	https://th-wildau.de/rvk-short/GE3003-GT1500
GE 3003	Allgemeines	https://th-wildau.de/rvk-short/GE3003
GE 3029 - GE 3929	Literaturwissenschaft und Literaturkritik	https://th-wildau.de/rvk-short/GE3029-GE3929
GE 4001 - GE 6975	Literaturgeschichte	https://th-wildau.de/rvk-short/GE4001-GE6975
GE 7001 - GE 8692	Deutsche Literatur des Mittelalters	https://th-wildau.de/rvk-short/GE7001-GE8692
GE 9001 - GE 9498	Althochdeutsche Literatur	https://th-wildau.de/rvk-short/GE9001-GE9498
GE 9501 - GE 9839	Altsächsische und altniederdeutsche Literatur	https://th-wildau.de/rvk-short/GE9501-GE9839
GF 1701 - GF 2499	Frühmittelhochdeutsche Literatur	https://th-wildau.de/rvk-short/GF1701-GF2499
GF 2501 - GF 6120	Mittelhochdeutsche Klassik	https://th-wildau.de/rvk-short/GF2501-GF6120
GF 6201 - GF 8299	Spätmittelalter	https://th-wildau.de/rvk-short/GF6201-GF8299
GF 9301 - GF 9982	Mittelniederdeutsche Literatur	https://th-wildau.de/rvk-short/GF9301-GF9982
GG 3675 - GG 3699	Jiddische Literatur	https://th-wildau.de/rvk-short/GG3675-GG3699
GG 3701 - GG 9001	Renaissance, Humanismus, Reformation	https://th-wildau.de/rvk-short/GG3701-GG9001
GH	Das Zeitalter des Barock	https://th-wildau.de/rvk-short/GH
GI	Das Zeitalter der Aufklärung und der Empfindsamkeit	https://th-wildau.de/rvk-short/GI
GK 1001 - GK 1380	Goethezeit	https://th-wildau.de/rvk-short/GK1001-GK1380
GK 1601 - GK 2300	Sturm und Drang. Klassik	https://th-wildau.de/rvk-short/GK1601-GK2300
GK 2501 - GK 9951	Romantik	https://th-wildau.de/rvk-short/GK2501-GK9951
GL	Das 19. Jahrhundert	https://th-wildau.de/rvk-short/GL
GM	Das 20. Jahrhundert und Moderne I	https://th-wildau.de/rvk-short/GM
GN	Moderne II: 1946 - 1990	https://th-wildau.de/rvk-short/GN
GO	Moderne III: 1991 ff.	https://th-wildau.de/rvk-short/GO
GT	Neuniederdeutsche Literatur	https://th-wildau.de/rvk-short/GT
GU	Niederländische Sprache und Literatur	https://th-wildau.de/rvk-short/GU
GU 10000	Allgemeines	https://th-wildau.de/rvk-short/GU10000
GU 10020	Bibliografie	https://th-wildau.de/rvk-short/GU10020
GU 10050	Enzyklopädie, Nachschlagewerke	https://th-wildau.de/rvk-short/GU10050
GU 10100 - GU 10180	Landeskunde niederländisches Sprachgebiet	https://th-wildau.de/rvk-short/GU10100-GU10180
GU 10200 - GU 10295	Geschichte	https://th-wildau.de/rvk-short/GU10200-GU10295
GU 10300	Nichtliterarische Texte	https://th-wildau.de/rvk-short/GU10300
GU 10350 - GU 10460	Philologisches	https://th-wildau.de/rvk-short/GU10350-GU10460
GU 10470	Festschriften	https://th-wildau.de/rvk-short/GU10470
GU 10480	Kongressberichte, Aufsatzsammlungen	https://th-wildau.de/rvk-short/GU10480
GU 10500 - GU 14250	Niederländischunterricht (Didaktik)	https://th-wildau.de/rvk-short/GU10500-GU14250
GU 15000 - GU 19500	Niederländische Sprache	https://th-wildau.de/rvk-short/GU15000-GU19500
GU 20000 - GU 29999	Niederländische Literatur	https://th-wildau.de/rvk-short/GU20000-GU29999
GU 30000 - GU 99999	Einzelne Epochen der Literaturgeschichte	https://th-wildau.de/rvk-short/GU30000-GU99999
GV 1000 - GV 3000	Afrikaans: Sprache und Literatur	https://th-wildau.de/rvk-short/GV1000-GV3000
GV 1000 - GV 1100	Afrikaans: Sprache und Literatur	https://th-wildau.de/rvk-short/GV1000-GV1100
GV 1150 - GV 1160	Philologisches	https://th-wildau.de/rvk-short/GV1150-GV1160
GV 1200 - GV 2001	Afrikaans: Linguistik	https://th-wildau.de/rvk-short/GV1200-GV2001
GV 2000 - GV 3000	Afrikaans: Literatur	https://th-wildau.de/rvk-short/GV2000-GV3000
GV 4001 - GV 9001	Friesische Sprache und Literatur	https://th-wildau.de/rvk-short/GV4001-GV9001
GV 4001	Allgemeines	https://th-wildau.de/rvk-short/GV4001
GV 4010	Bibliografien	https://th-wildau.de/rvk-short/GV4010
GV 4012	Landeskunde	https://th-wildau.de/rvk-short/GV4012
GV 4023 - GV 7091	Sprache	https://th-wildau.de/rvk-short/GV4023-GV7091
GV 7303 - GV 9001	Literatur	https://th-wildau.de/rvk-short/GV7303-GV9001
GV 9010 - GV 9090	Neufriesische Literatur (21. Jahrhundert)	https://th-wildau.de/rvk-short/GV9010-GV9090
GW - GZ	Skandinavistik	https://th-wildau.de/rvk-short/GW-GZ
GW 1000	Allgemeines, Lexika und Handbücher	https://th-wildau.de/rvk-short/GW1000
GW 1001	Bibliografien	https://th-wildau.de/rvk-short/GW1001
GW 1002	Schriftenreihe	https://th-wildau.de/rvk-short/GW1002
GW 1003	Aufsatzsammlungen mehrerer Verfasser	https://th-wildau.de/rvk-short/GW1003
GW 1004	Aufsatzsammlungen und kleine Schriften eines Verfassers	https://th-wildau.de/rvk-short/GW1004
GW 1005	Festschriften	https://th-wildau.de/rvk-short/GW1005
GW 1006	Geschichte des Faches, Einzelne Skandinavisten	https://th-wildau.de/rvk-short/GW1006
GW 1007	Kultur, Geschichte und Landeskunde	https://th-wildau.de/rvk-short/GW1007
GW 1008	Recht und Wirtschaft	https://th-wildau.de/rvk-short/GW1008
GW 1009	Theater und Kunst	https://th-wildau.de/rvk-short/GW1009
GW 1010	Philosophie und Geistesgeschichte	https://th-wildau.de/rvk-short/GW1010
GW 1012	Religion und Mythologie	https://th-wildau.de/rvk-short/GW1012
GW 1015	Nichtliterarische Textsammlungen	https://th-wildau.de/rvk-short/GW1015
GW 1017	Handschriftenkunde, Paläografie	https://th-wildau.de/rvk-short/GW1017
GW 1020 - GW 4797	Linguistik (Sprachwissenschaft)	https://th-wildau.de/rvk-short/GW1020-GW4797
GW 5000 - GY 1400	Literaturwissenschaft	https://th-wildau.de/rvk-short/GW5000-GY1400
GZ	Skandinavistik / Landeskunde	https://th-wildau.de/rvk-short/GZ
H	Anglistik. Amerikanistik	https://th-wildau.de/rvk-short/H
HC 1000	Zeitschriften	https://th-wildau.de/rvk-short/HC1000
HD	Allgemeines und Englischunterricht	https://th-wildau.de/rvk-short/HD
HD 101	Studienführer	https://th-wildau.de/rvk-short/HD101
HD 104 - HD 119	Bibliografie(n)	https://th-wildau.de/rvk-short/HD104-HD119
HD 120	Enzyklopädie, Einführung (Lexika, Handbücher)	https://th-wildau.de/rvk-short/HD120
HD 125	Serien und Reihen	https://th-wildau.de/rvk-short/HD125
HD 135	Kongressbericht(e) (periodische s. Zeitschriften)	https://th-wildau.de/rvk-short/HD135
HD 140 - HD 143	Aufsatzsammlung(en)	https://th-wildau.de/rvk-short/HD140-HD143
HD 150 - HD 242	Englischunterricht (Didaktik)	https://th-wildau.de/rvk-short/HD150-HD242
HD 250	Forschungsorganisation (Pflege des Faches)	https://th-wildau.de/rvk-short/HD250
HD 260	Anglistikstudium, Amerikanistikstudium, Anglist (Beruf)	https://th-wildau.de/rvk-short/HD260
HD 270	Theorie und Methodologie des Faches	https://th-wildau.de/rvk-short/HD270
HD 275 - HD 279	Geschichte und Biografie des Faches	https://th-wildau.de/rvk-short/HD275-HD279
HD 300 - HD 675	Landeskunde	https://th-wildau.de/rvk-short/HD300-HD675
HE - HF	Englische Sprache	https://th-wildau.de/rvk-short/HE-HF
HE 100 - HE 347	Allgemeines und sämtliche Epochen	https://th-wildau.de/rvk-short/HE100-HE347
HE 350 - HE 580	Altenglisch (7.-11. Jahrhundert)	https://th-wildau.de/rvk-short/HE350-HE580
HE 600 - HE 980	Mittelenglisch (11.-15. Jahrhundert)	https://th-wildau.de/rvk-short/HE600-HE980
HF 100 - HF 590	Neuenglisch (ab 1500)	https://th-wildau.de/rvk-short/HF100-HF590
HF 600 - HF 999	Amerikanisches Englisch	https://th-wildau.de/rvk-short/HF600-HF999
HG - HO	Englische Literatur	https://th-wildau.de/rvk-short/HG-HO
HG	Allgemeines und sämtliche Epochen	https://th-wildau.de/rvk-short/HG
HH	Englische Literatur des Mittelalters	https://th-wildau.de/rvk-short/HH
HI	Renaissance, Elisabethanische Zeit (1500-1640)	https://th-wildau.de/rvk-short/HI
HK	17. und 18. Jahrhundert (1640-1770)	https://th-wildau.de/rvk-short/HK
HL	19. Jahrhundert (1770/1800-1890/1900)	https://th-wildau.de/rvk-short/HL
HM	Frühes 20. Jahrhundert (1900 - ca.1950)	https://th-wildau.de/rvk-short/HM
HN	Die Literatur des 20. Jahrhunderts seit 1945	https://th-wildau.de/rvk-short/HN
HO	Die Literatur des 21. Jahrhunderts	https://th-wildau.de/rvk-short/HO
HP - HQ	Englischsprachige Literatur außerhalb der Britischen Inseln und der USA	https://th-wildau.de/rvk-short/HP-HQ
HP 1000	Allgemeines	https://th-wildau.de/rvk-short/HP1000
HP 1010	Literaturwissenschaft	https://th-wildau.de/rvk-short/HP1010
HP 1020	Literaturgeschichte	https://th-wildau.de/rvk-short/HP1020
HP 1025	Geistes- und Ideengeschichte	https://th-wildau.de/rvk-short/HP1025
HP 1030	Stoff- und Motivgeschichte	https://th-wildau.de/rvk-short/HP1030
HP 1035 - HP 1050	Gattungsgeschichte	https://th-wildau.de/rvk-short/HP1035-HP1050
HP 1060	Interpretationssammlungen	https://th-wildau.de/rvk-short/HP1060
HP 1100 - HP 1195	Commonwealthliteratur, Postkoloniale Literatur, Neue Englischsprachige Literatur	https://th-wildau.de/rvk-short/HP1100-HP1195
HP 1200 - HP 9999.1	Afrika	https://th-wildau.de/rvk-short/HP1200-HP9999.1
HQ 1000 - HQ 2999.1	Australien	https://th-wildau.de/rvk-short/HQ1000-HQ2999.1
HQ 3000 - HQ 3999.1	Neuseeland	https://th-wildau.de/rvk-short/HQ3000-HQ3999.1
HQ 4000 - HQ 5999.1	Kanada	https://th-wildau.de/rvk-short/HQ4000-HQ5999.1
HQ 6000 - HQ 6999.1	Indien, Pakistan, Bangladesch, Philippinen, Sri Lanka	https://th-wildau.de/rvk-short/HQ6000-HQ6999.1
HQ 7000 - HQ 7999.1	Westindien	https://th-wildau.de/rvk-short/HQ7000-HQ7999.1
HR - HV	Amerikanische Literatur	https://th-wildau.de/rvk-short/HR-HV
HR	Allgemeines und sämtliche Epochen	https://th-wildau.de/rvk-short/HR
HS	17. und 18. Jahrhundert (Kolonialzeit)	https://th-wildau.de/rvk-short/HS
HT	19. Jahrhundert	https://th-wildau.de/rvk-short/HT
HU	20. Jahrhundert	https://th-wildau.de/rvk-short/HU
HV	21. Jahrhundert	https://th-wildau.de/rvk-short/HV
I	Romanistik	https://th-wildau.de/rvk-short/I
IA 1000	Zeitschriften	https://th-wildau.de/rvk-short/IA1000
IB	Romanische Sprachen und Literaturen	https://th-wildau.de/rvk-short/IB
IB 1021	Spezialenzyklopädien	https://th-wildau.de/rvk-short/IB1021
IB 1025	Länderkunde, Geografie	https://th-wildau.de/rvk-short/IB1025
IB 1040	Geschichte (auch Kultur- und Kunstgeschichte)	https://th-wildau.de/rvk-short/IB1040
IB 1050	Verschiedenes, Einzelabhandlungen	https://th-wildau.de/rvk-short/IB1050
IB 1057	Nichtliterarische Texte	https://th-wildau.de/rvk-short/IB1057
IB 1060	Bibliografie	https://th-wildau.de/rvk-short/IB1060
IB 1061	Paläografie und Handschriftenkunde	https://th-wildau.de/rvk-short/IB1061
IB 1062	Textkritik, Editionsprobleme	https://th-wildau.de/rvk-short/IB1062
IB 1070	Einführungen, Handbücher	https://th-wildau.de/rvk-short/IB1070
IB 1071	Serien	https://th-wildau.de/rvk-short/IB1071
IB 1079	Kongressakten, Tagungsakten	https://th-wildau.de/rvk-short/IB1079
IB 1080	Festschriften	https://th-wildau.de/rvk-short/IB1080
IB 1081	Aufsatzsammlungen	https://th-wildau.de/rvk-short/IB1081
IB 1082	Romanistik als Beruf, Biografien von Romanisten	https://th-wildau.de/rvk-short/IB1082
IB 1085	Geschichte der Romanistik	https://th-wildau.de/rvk-short/IB1085
IB 1100 - IB 1127	Romanische Sprachen	https://th-wildau.de/rvk-short/IB1100-IB1127
IB 1130 - IB 1200	Sprachgeschichte	https://th-wildau.de/rvk-short/IB1130-IB1200
IB 1220	Kontrastive Linguistik, Sprachvergleich	https://th-wildau.de/rvk-short/IB1220
IB 1260 - IB 1380	Grammatik	https://th-wildau.de/rvk-short/IB1260-IB1380
IB 1400	Stilistik, Phraseologie	https://th-wildau.de/rvk-short/IB1400
IB 1405	Textlinguistik	https://th-wildau.de/rvk-short/IB1405
IB 1410	Konversationsanalyse	https://th-wildau.de/rvk-short/IB1410
IB 1415	Diskursanalyse	https://th-wildau.de/rvk-short/IB1415
IB 1420	Pragmatik (auch Höflichkeit, Diskursmarkierung, Partikelforschung)	https://th-wildau.de/rvk-short/IB1420
IB 1425	Korpuslinguistik	https://th-wildau.de/rvk-short/IB1425
IB 1430 - IB 1490	Wortkunde	https://th-wildau.de/rvk-short/IB1430-IB1490
IB 1496	Sprachgeografie	https://th-wildau.de/rvk-short/IB1496
IB 1499	Übersetzungswissenschaft, Translation	https://th-wildau.de/rvk-short/IB1499
IB 1501 - IB 4000	Romanische Literaturen	https://th-wildau.de/rvk-short/IB1501-IB4000
IB 4500 - IB 7950	Literaturgeschichte	https://th-wildau.de/rvk-short/IB4500-IB7950
ID	Französische Sprache und Literatur	https://th-wildau.de/rvk-short/ID
ID 1000	Bibliografie	https://th-wildau.de/rvk-short/ID1000
ID 1050	Enzyklopädie, Nachschlagewerke	https://th-wildau.de/rvk-short/ID1050
ID 1100 - ID 1175	Landeskunde	https://th-wildau.de/rvk-short/ID1100-ID1175
ID 1216 - ID 1270	Geschichte	https://th-wildau.de/rvk-short/ID1216-ID1270
ID 1301	Nichtliterarische Texte (z.B. Bibeln, Gesetzessammlungen, Fachliteratur)	https://th-wildau.de/rvk-short/ID1301
ID 1400	Einführungen, Handbücher, Prüfungsordnungen	https://th-wildau.de/rvk-short/ID1400
ID 1450	Sammelwerke und Festschriften	https://th-wildau.de/rvk-short/ID1450
ID 1500	Aufsatzsammlungen	https://th-wildau.de/rvk-short/ID1500
ID 1502 - ID 1597	Didaktik	https://th-wildau.de/rvk-short/ID1502-ID1597
ID 1600 - ID 9800	Französische Sprache	https://th-wildau.de/rvk-short/ID1600-ID9800
IE	Französische Literatur i.A. und Französische Literatur im Mittelalter	https://th-wildau.de/rvk-short/IE
IE 1000 - IE 3865	Französische Literatur	https://th-wildau.de/rvk-short/IE1000-IE3865
IE 3880 - IE 8955	Französische Literatur im Mittelalter	https://th-wildau.de/rvk-short/IE3880-IE8955
IF	Französische Literatur im 16. und 17. Jahrhundert	https://th-wildau.de/rvk-short/IF
IF 1000 - IF 3849	Französische Literatur im 16. Jahrhundert	https://th-wildau.de/rvk-short/IF1000-IF3849
IF 4100 - IF 9139	Französische Literatur im 17. Jahrhundert	https://th-wildau.de/rvk-short/IF4100-IF9139
IG	Französische Literatur im 18. und 19. Jahrhundert	https://th-wildau.de/rvk-short/IG
IG 1040 - IG 3000	Französische Literatur im 18. Jahrhundert	https://th-wildau.de/rvk-short/IG1040-IG3000
IG 3095 - IG 9900	Französische Literatur im 19. Jahrhundert	https://th-wildau.de/rvk-short/IG3095-IG9900
IH	Französische Literatur im 20. und 21. Jahrhundert	https://th-wildau.de/rvk-short/IH
IH 1000 - IH 91900	Französische Literatur im 20. Jahrhundert	https://th-wildau.de/rvk-short/IH1000-IH91900
IH 92100 - IH 96000	Französische Literatur im 21. Jahrhundert	https://th-wildau.de/rvk-short/IH92100-IH96000
IJ	Französischsprachige Literatur außerhalb Frankreichs	https://th-wildau.de/rvk-short/IJ
IJ 10000 - IJ 10099	Übergreifend	https://th-wildau.de/rvk-short/IJ10000-IJ10099
IJ 20000 - IJ 20100	Belgien, Luxemburg	https://th-wildau.de/rvk-short/IJ20000-IJ20100
IJ 30000 - IJ 30100	Schweiz	https://th-wildau.de/rvk-short/IJ30000-IJ30100
IJ 40000 - IJ 40100	Kanada, USA	https://th-wildau.de/rvk-short/IJ40000-IJ40100
IJ 50000 - IJ 50100	Karibik	https://th-wildau.de/rvk-short/IJ50000-IJ50100
IJ 60000 - IJ 60100	Südostasien	https://th-wildau.de/rvk-short/IJ60000-IJ60100
IJ 70000 - IJ 70100	Nordafrika, Vorderer Orient (Libanon, Israel, Türkei, Iran)	https://th-wildau.de/rvk-short/IJ70000-IJ70100
IJ 80000 - IJ 99999.1	Subsaharisches Afrika	https://th-wildau.de/rvk-short/IJ80000-IJ99999.1
IK	Okzitanische Sprache und Literatur	https://th-wildau.de/rvk-short/IK
IK 1000	Bibliografie	https://th-wildau.de/rvk-short/IK1000
IK 1010	Enzyklopädie, Nachschlagewerke	https://th-wildau.de/rvk-short/IK1010
IK 1030	Landeskunde	https://th-wildau.de/rvk-short/IK1030
IK 1060	Geschichte	https://th-wildau.de/rvk-short/IK1060
IK 1070	Kulturgeschichte	https://th-wildau.de/rvk-short/IK1070
IK 1090	Nichtliterarische Texte	https://th-wildau.de/rvk-short/IK1090
IK 1150	Einführungen, Handbücher	https://th-wildau.de/rvk-short/IK1150
IK 1155	Sammelwerke und Festschriften	https://th-wildau.de/rvk-short/IK1155
IK 1160	Aufsatzsammlungen	https://th-wildau.de/rvk-short/IK1160
IK 1162 - IK 1180	Didaktik	https://th-wildau.de/rvk-short/IK1162-IK1180
IK 1190 - IK 3589	Okzitanische Sprache	https://th-wildau.de/rvk-short/IK1190-IK3589
IK 3650 - IK 4600	Okzitanische Literatur im allgemeinen	https://th-wildau.de/rvk-short/IK3650-IK4600
IK 4605 - IK 7770	Okzitanische Literatur im Mittelalter	https://th-wildau.de/rvk-short/IK4605-IK7770
IK 8030 - IK 9999.1	Okzitanische Literatur	https://th-wildau.de/rvk-short/IK8030-IK9999.1
IL	Katalanische Sprache und Literatur	https://th-wildau.de/rvk-short/IL
IL 1000	Bibliografie	https://th-wildau.de/rvk-short/IL1000
IL 1010	Enzyklopädie, Nachschlagewerke	https://th-wildau.de/rvk-short/IL1010
IL 1030	Landeskunde	https://th-wildau.de/rvk-short/IL1030
IL 1060	Geschichte, Sozial- und Kulturgeschichte	https://th-wildau.de/rvk-short/IL1060
IL 1090	Nichtliterarische Texte (z.B. Bibeln, Gesetzessammlungen, Fachliteratur)	https://th-wildau.de/rvk-short/IL1090
IL 1140	Einführungen, Handbücher	https://th-wildau.de/rvk-short/IL1140
IL 1150	Sammelwerke, Festschriften, Aufsatzsammlungen	https://th-wildau.de/rvk-short/IL1150
IL 1162 - IL 1180	Didaktik	https://th-wildau.de/rvk-short/IL1162-IL1180
IL 1200 - IL 3790	Katalanische Sprache	https://th-wildau.de/rvk-short/IL1200-IL3790
IL 3800 - IL 5190	Katalanische Literatur im allgemeinen	https://th-wildau.de/rvk-short/IL3800-IL5190
IL 5200 - IL 7799	Katalanische Literatur im Mittelalter	https://th-wildau.de/rvk-short/IL5200-IL7799
IL 7800 - IL 9999.1	Neukatalanische Literatur	https://th-wildau.de/rvk-short/IL7800-IL9999.1
IM	Spanische Sprache und Literatur	https://th-wildau.de/rvk-short/IM
IM 1000	Bibliografie	https://th-wildau.de/rvk-short/IM1000
IM 1050	Enzyklopädie, Nachschlagewerke	https://th-wildau.de/rvk-short/IM1050
IM 1100 - IM 1175	Landeskunde	https://th-wildau.de/rvk-short/IM1100-IM1175
IM 1220 - IM 1270	Geschichte	https://th-wildau.de/rvk-short/IM1220-IM1270
IM 1299	Nichtliterarische Texte (z.B. Bibeln, Gesetzessammlungen, Fachliteratur)	https://th-wildau.de/rvk-short/IM1299
IM 1400	Einführungen, Handbücher	https://th-wildau.de/rvk-short/IM1400
IM 1450	Sammelwerke und Festschriften	https://th-wildau.de/rvk-short/IM1450
IM 1460	Aufsatzsammlungen	https://th-wildau.de/rvk-short/IM1460
IM 1490 - IM 1558	Didaktik	https://th-wildau.de/rvk-short/IM1490-IM1558
IM 1600 - IM 9980	Spanische Sprache	https://th-wildau.de/rvk-short/IM1600-IM9980
IN	Spanische Literatur i.A. und Spanische Literatur im Mittelalter	https://th-wildau.de/rvk-short/IN
IN 0940 - IN 3875	Spanische Literatur im allgemeinen	https://th-wildau.de/rvk-short/IN0940-IN3875
IN 3880 - IN 8669	Spanische Literatur im Mittelalter	https://th-wildau.de/rvk-short/IN3880-IN8669
IO - IP	Spanische Literatur im 16. - 21. Jahrhundert	https://th-wildau.de/rvk-short/IO-IP
IO 1000 - IO 6900	Spanische Literatur im 16. und 17. Jahrhundert	https://th-wildau.de/rvk-short/IO1000-IO6900
IO 7000 - IO 9980	Spanische Literatur im 18. und 19. Jahrhundert	https://th-wildau.de/rvk-short/IO7000-IO9980
IP 1000 - IP 26000	Spanische Literatur im 20. und 21. Jahrhundert	https://th-wildau.de/rvk-short/IP1000-IP26000
IQ	Lateinamerikanische Literaturen	https://th-wildau.de/rvk-short/IQ
IQ 00001 - IQ 00025	Landeskunde und Geschichte	https://th-wildau.de/rvk-short/IQ00001-IQ00025
IQ 00035 - IQ 00067	Literaturwissenschaft	https://th-wildau.de/rvk-short/IQ00035-IQ00067
IQ 00070 - IQ 00105	Poetik, Dichtungs- und Literaturtheorie	https://th-wildau.de/rvk-short/IQ00070-IQ00105
IQ 00130 - IQ 00345	Literaturgeschichte und Interpretation	https://th-wildau.de/rvk-short/IQ00130-IQ00345
IQ 00350 - IQ 04490	Kuba	https://th-wildau.de/rvk-short/IQ00350-IQ04490
IQ 09000 - IQ 09990	Dominikanische Republik	https://th-wildau.de/rvk-short/IQ09000-IQ09990
IQ 10000 - IQ 10990	Puerto Rico	https://th-wildau.de/rvk-short/IQ10000-IQ10990
IQ 11000 - IQ 11150	Sonstige Antillen-Inseln	https://th-wildau.de/rvk-short/IQ11000-IQ11150
IQ 11160 - IQ 11195	USA (insbesondere Chicano-Literatur)	https://th-wildau.de/rvk-short/IQ11160-IQ11195
IQ 12000 - IQ 23990	Mexiko	https://th-wildau.de/rvk-short/IQ12000-IQ23990
IQ 24000 - IQ 24990	Guatemala	https://th-wildau.de/rvk-short/IQ24000-IQ24990
IQ 25000 - IQ 25990	El Salvador	https://th-wildau.de/rvk-short/IQ25000-IQ25990
IQ 26000 - IQ 26990	Honduras	https://th-wildau.de/rvk-short/IQ26000-IQ26990
IQ 27000 - IQ 27990	Nicaragua	https://th-wildau.de/rvk-short/IQ27000-IQ27990
IQ 28000 - IQ 28990	Costa Rica	https://th-wildau.de/rvk-short/IQ28000-IQ28990
IQ 29000 - IQ 29990	Panama	https://th-wildau.de/rvk-short/IQ29000-IQ29990
IQ 30000 - IQ 33990	Venezuela	https://th-wildau.de/rvk-short/IQ30000-IQ33990
IQ 37000 - IQ 43990	Kolumbien	https://th-wildau.de/rvk-short/IQ37000-IQ43990
IQ 44000 - IQ 48990	Ecuador	https://th-wildau.de/rvk-short/IQ44000-IQ48990
IQ 49000 - IQ 55990	Peru	https://th-wildau.de/rvk-short/IQ49000-IQ55990
IQ 56000 - IQ 60990	Bolivien	https://th-wildau.de/rvk-short/IQ56000-IQ60990
IQ 61000 - IQ 69990	Chile	https://th-wildau.de/rvk-short/IQ61000-IQ69990
IQ 70000 - IQ 70990	Paraguay	https://th-wildau.de/rvk-short/IQ70000-IQ70990
IQ 71000 - IQ 82990	Argentinien	https://th-wildau.de/rvk-short/IQ71000-IQ82990
IQ 83000 - IQ 87990	Uruguay	https://th-wildau.de/rvk-short/IQ83000-IQ87990
IQ 88000 - IQ 99990	Brasilien	https://th-wildau.de/rvk-short/IQ88000-IQ99990
IR	Portugiesische Sprache und Literatur	https://th-wildau.de/rvk-short/IR
IR 1000	Bibliografie	https://th-wildau.de/rvk-short/IR1000
IR 1020	Enzyklopädie, Nachschlagewerke	https://th-wildau.de/rvk-short/IR1020
IR 1030 - IR 1070	Landeskunde und Geschichte	https://th-wildau.de/rvk-short/IR1030-IR1070
IR 1150	Einführungen, Handbücher	https://th-wildau.de/rvk-short/IR1150
IR 1160	Festschriften	https://th-wildau.de/rvk-short/IR1160
IR 1180	Kongressschriften u.ä.	https://th-wildau.de/rvk-short/IR1180
IR 1190	Aufsatzsammlungen	https://th-wildau.de/rvk-short/IR1190
IR 1191 - IR 1200	Didaktik	https://th-wildau.de/rvk-short/IR1191-IR1200
IR 1201 - IR 2799	Portugiesische Sprache	https://th-wildau.de/rvk-short/IR1201-IR2799
IR 2800 - IR 3605	Portugiesische Literatur im Allgemeinen	https://th-wildau.de/rvk-short/IR2800-IR3605
IR 3610 - IR 4790	Portugiesische Literatur im Mittelalter	https://th-wildau.de/rvk-short/IR3610-IR4790
IR 4800 - IR 5890	Portugiesische Literatur im 16. Jahrhundert	https://th-wildau.de/rvk-short/IR4800-IR5890
IR 5900 - IR 7090	Portugiesische Literatur im 17., 18. und 19. Jahrhundert	https://th-wildau.de/rvk-short/IR5900-IR7090
IR 7100 - IR 8195	Portugiesische Literatur im 20. Jahrhundert	https://th-wildau.de/rvk-short/IR7100-IR8195
IR 8201	Autoren des 21. Jahrhunderts (geb. ab 1975)	https://th-wildau.de/rvk-short/IR8201
IR 8300 - IR 9999.1	Portugiesischsprachige Literatur im Subsaharischen Afrika und in Asien	https://th-wildau.de/rvk-short/IR8300-IR9999.1
IS - IV	Italienische Sprache und Literatur	https://th-wildau.de/rvk-short/IS-IV
IS 1000	Bibliografie	https://th-wildau.de/rvk-short/IS1000
IS 1010	Enzyklopädie, Nachschlagewerke	https://th-wildau.de/rvk-short/IS1010
IS 1030 - IS 1059	Landeskunde	https://th-wildau.de/rvk-short/IS1030-IS1059
IS 1060 - IS 1090	Geschichte	https://th-wildau.de/rvk-short/IS1060-IS1090
IS 1095	Nichtliterarische Texte (z.B. Bibeln, Gesetzessammlungen, Fachliteratur)	https://th-wildau.de/rvk-short/IS1095
IS 1150	Einführungen, Handbücher	https://th-wildau.de/rvk-short/IS1150
IS 1157	Kongressakten, Tagungsakten	https://th-wildau.de/rvk-short/IS1157
IS 1160	Festschriften	https://th-wildau.de/rvk-short/IS1160
IS 1161	Aufsatzsammlungen	https://th-wildau.de/rvk-short/IS1161
IS 1200 - IS 1250	Didaktik	https://th-wildau.de/rvk-short/IS1200-IS1250
IS 1600 - IS 8955	Italienische Sprache	https://th-wildau.de/rvk-short/IS1600-IS8955
IT 1000 - IT 3700	Italienische Literatur im allgemeinen	https://th-wildau.de/rvk-short/IT1000-IT3700
IT 3750 - IT 7000	Italienische Literatur bis zum 14. Jahrhundert	https://th-wildau.de/rvk-short/IT3750-IT7000
