notation	description
GB 2946 - GB 2950	Einzelprobleme
GB 2952 - GB 2968	Sprachunterricht
GB 2970 - GB 2978	Literaturunterricht
GB 2980 - GB 3008	Schul- und Übungsbücher
GB 3010 - GB 3058	Deutsch als Fremdsprache / Deutsch als Zweitsprache
GB 3010 - GB 3041	Sekundärliteratur
GB 3044 - GB 3058	Primärtexte, Medien
GB 3060	Studium
GB 3062	Beruf
GB 3065 - GB 3400	Germanistische Handschriftenkunde
GB 3065	Allgemeines
GB 3100	Paläografie
GB 3400	Edition (Editionsfragen)
GB 3455 - GB 3879	Germanische Altertumskunde
GB 3455	Allgemeines. Nachschlagewerke
GB 3480 - GB 3879	Einzelgebiete
GB 4025 - GB 6660	Germanische Sprachen. Vergleichende Germanistik
GB 4025	Allgemeines
GB 4030	Sprachstruktur
GB 4040	Germanistische Sprachwissenschaft
GB 4045	Sprachphilosophie
GB 4050	Psycholinguistik (Sprachpsychologie)
GB 4055	Soziolinguistik (Sprachsoziologie)
GB 4065 - GB 4195	Sprachgeschichte. Sprachverbreitung
GB 4255 - GB 4629	Sprachkontakt (Sprachberührung. Spracheinflüsse)
GB 4701 - GB 4851	Grammatik
GB 4895	Stilistik
GB 4935	Lexikologie (Wortkunde)
GB 4951 - GB 4979	Besonderes (A-Z)
GB 5025 - GB 5916	Germanisch. Altgermanische Sprachen
GB 6006 - GB 6660	Gotisch
GC	Deutsche Sprache
GC 1001	Allgemeines
GC 1007	Sprachstruktur
GC 1015	Linguistik
GC 1020	Sprachphilosophie
GC 1030	Psycholinguistik (Sprachpsychologie)
GC 1040	Soziolinguistik (Sprachsoziologie)
GC 1060	Sprachschichten
GC 1071 - GC 1099	Beziehungen zu anderen Wissenschaften (A-Z)
GC 1125 - GC 1222	Sprachgeschichte
GC 1243 - GC 1471	Sprachkontakt
GC 1505 - GC 1819	Historische und strukturale Grammatik
GC 1834 - GC 1865	Historische Lexikologie (Wortkunde)
GC 1871 - GC 1899	Besonderes (A-Z)
GC 2002 - GC 2469	Althochdeutsch
GC 2501 - GC 2979	Altsächsisch
GC 3501 - GC 4000	Mittelhochdeutsch
GC 4501 - GC 4947	Frühneuhochdeutsch
GC 5001 - GC 9607	Neuhochdeutsche Schriftsprache
GD	Dialektologie, Mundarten, Sondersprachen, Namenkunde
GD 1001	Dialektologie allgemein
GD 1025 - GD 1099	Sprachgeografie
GD 1101	Grammatik
GD 1112	Lexikologie (Wortkunde)
GD 1131 - GD 2600	Oberdeutsche Mundarten
GD 3500 - GD 4360	Mitteldeutsche Mundarten
GD 4501 - GD 6979	Niederdeutsch
GD 6980 - GD 6986	Binnensprachinseln
GD 7001 - GD 8629	Auslanddeutsche Mundarten und Sprachen mit deutschen Sprachelementen
GD 8650 - GD 8990	Sondersprachen, Fachsprachen
GD 9001 - GD 9999	Namenkunde
GE 1905 - GE 2800	Germanische Literaturen
GE 1905	Allgemeines
GE 1910	Literaturwissenschaft
GE 1912	Literaturpsychologie
GE 1914	Literatursoziologie
GE 1915 - GE 1949	Literaturtheorie (Poetik)
GE 1951 - GE 1998	Literaturgeschichte
GE 2002 - GE 2800	Altgermanische Literatur
GE 3003 - GT 1500	Deutsche Literatur
GE 3003	Allgemeines
GE 3029 - GE 3929	Literaturwissenschaft und Literaturkritik
GE 4001 - GE 6975	Literaturgeschichte
GE 7001 - GE 8692	Deutsche Literatur des Mittelalters
GE 9001 - GE 9498	Althochdeutsche Literatur
GE 9501 - GE 9839	Altsächsische und altniederdeutsche Literatur
GF 1701 - GF 2499	Frühmittelhochdeutsche Literatur
GF 2501 - GF 6120	Mittelhochdeutsche Klassik
GF 6201 - GF 8299	Spätmittelalter
GF 9301 - GF 9982	Mittelniederdeutsche Literatur
GG 3675 - GG 3699	Jiddische Literatur
GG 3701 - GG 9001	Renaissance, Humanismus, Reformation
GH	Das Zeitalter des Barock
GI	Das Zeitalter der Aufklärung und der Empfindsamkeit
GK 1001 - GK 1380	Goethezeit
GK 1601 - GK 2300	Sturm und Drang. Klassik
GK 2501 - GK 9951	Romantik
GL	Das 19. Jahrhundert
GM	Das 20. Jahrhundert und Moderne I
GN	Moderne II: 1946 - 1990
GO	Moderne III: 1991 ff.
GT	Neuniederdeutsche Literatur
GU	Niederländische Sprache und Literatur
GU 10000	Allgemeines
GU 10020	Bibliografie
GU 10050	Enzyklopädie, Nachschlagewerke
GU 10100 - GU 10180	Landeskunde niederländisches Sprachgebiet
GU 10200 - GU 10295	Geschichte
GU 10300	Nichtliterarische Texte
GU 10350 - GU 10460	Philologisches
GU 10470	Festschriften
GU 10480	Kongressberichte, Aufsatzsammlungen
GU 10500 - GU 14250	Niederländischunterricht (Didaktik)
GU 15000 - GU 19500	Niederländische Sprache
GU 20000 - GU 29999	Niederländische Literatur
GU 30000 - GU 99999	Einzelne Epochen der Literaturgeschichte
GV 1000 - GV 3000	Afrikaans: Sprache und Literatur
GV 1000 - GV 1100	Afrikaans: Sprache und Literatur
GV 1150 - GV 1160	Philologisches
GV 1200 - GV 2001	Afrikaans: Linguistik
GV 2000 - GV 3000	Afrikaans: Literatur
GV 4001 - GV 9001	Friesische Sprache und Literatur
GV 4001	Allgemeines
GV 4010	Bibliografien
GV 4012	Landeskunde
GV 4023 - GV 7091	Sprache
GV 7303 - GV 9001	Literatur
GV 9010 - GV 9090	Neufriesische Literatur (21. Jahrhundert)
GW - GZ	Skandinavistik
GW 1000	Allgemeines, Lexika und Handbücher
GW 1001	Bibliografien
GW 1002	Schriftenreihe
GW 1003	Aufsatzsammlungen mehrerer Verfasser
GW 1004	Aufsatzsammlungen und kleine Schriften eines Verfassers
GW 1005	Festschriften
GW 1006	Geschichte des Faches, Einzelne Skandinavisten
GW 1007	Kultur, Geschichte und Landeskunde
GW 1008	Recht und Wirtschaft
GW 1009	Theater und Kunst
GW 1010	Philosophie und Geistesgeschichte
GW 1012	Religion und Mythologie
GW 1015	Nichtliterarische Textsammlungen
GW 1017	Handschriftenkunde, Paläografie
GW 1020 - GW 4797	Linguistik (Sprachwissenschaft)
GW 5000 - GY 1400	Literaturwissenschaft
GZ	Skandinavistik / Landeskunde
H	Anglistik. Amerikanistik
HC 1000	Zeitschriften
HD	Allgemeines und Englischunterricht
HD 101	Studienführer
HD 104 - HD 119	Bibliografie(n)
HD 120	Enzyklopädie, Einführung (Lexika, Handbücher)
HD 125	Serien und Reihen
HD 135	Kongressbericht(e) (periodische s. Zeitschriften)
HD 140 - HD 143	Aufsatzsammlung(en)
HD 150 - HD 242	Englischunterricht (Didaktik)
HD 250	Forschungsorganisation (Pflege des Faches)
HD 260	Anglistikstudium, Amerikanistikstudium, Anglist (Beruf)
HD 270	Theorie und Methodologie des Faches
HD 275 - HD 279	Geschichte und Biografie des Faches
HD 300 - HD 675	Landeskunde
HE - HF	Englische Sprache
HE 100 - HE 347	Allgemeines und sämtliche Epochen
HE 350 - HE 580	Altenglisch (7.-11. Jahrhundert)
HE 600 - HE 980	Mittelenglisch (11.-15. Jahrhundert)
HF 100 - HF 590	Neuenglisch (ab 1500)
HF 600 - HF 999	Amerikanisches Englisch
HG - HO	Englische Literatur
HG	Allgemeines und sämtliche Epochen
HH	Englische Literatur des Mittelalters
HI	Renaissance, Elisabethanische Zeit (1500-1640)
HK	17. und 18. Jahrhundert (1640-1770)
HL	19. Jahrhundert (1770/1800-1890/1900)
HM	Frühes 20. Jahrhundert (1900 - ca.1950)
HN	Die Literatur des 20. Jahrhunderts seit 1945
HO	Die Literatur des 21. Jahrhunderts
HP - HQ	Englischsprachige Literatur außerhalb der Britischen Inseln und der USA
HP 1000	Allgemeines
HP 1010	Literaturwissenschaft
HP 1020	Literaturgeschichte
HP 1025	Geistes- und Ideengeschichte
HP 1030	Stoff- und Motivgeschichte
HP 1035 - HP 1050	Gattungsgeschichte
HP 1060	Interpretationssammlungen
HP 1100 - HP 1195	Commonwealthliteratur, Postkoloniale Literatur, Neue Englischsprachige Literatur
HP 1200 - HP 9999.1	Afrika
HQ 1000 - HQ 2999.1	Australien
HQ 3000 - HQ 3999.1	Neuseeland
HQ 4000 - HQ 5999.1	Kanada
HQ 6000 - HQ 6999.1	Indien, Pakistan, Bangladesch, Philippinen, Sri Lanka
HQ 7000 - HQ 7999.1	Westindien
HR - HV	Amerikanische Literatur
HR	Allgemeines und sämtliche Epochen
HS	17. und 18. Jahrhundert (Kolonialzeit)
HT	19. Jahrhundert
HU	20. Jahrhundert
HV	21. Jahrhundert
I	Romanistik
IA 1000	Zeitschriften
IB	Romanische Sprachen und Literaturen
IB 1021	Spezialenzyklopädien
IB 1025	Länderkunde, Geografie
IB 1040	Geschichte (auch Kultur- und Kunstgeschichte)
IB 1050	Verschiedenes, Einzelabhandlungen
IB 1057	Nichtliterarische Texte
IB 1060	Bibliografie
IB 1061	Paläografie und Handschriftenkunde
IB 1062	Textkritik, Editionsprobleme
IB 1070	Einführungen, Handbücher
IB 1071	Serien
IB 1079	Kongressakten, Tagungsakten
IB 1080	Festschriften
IB 1081	Aufsatzsammlungen
IB 1082	Romanistik als Beruf, Biografien von Romanisten
IB 1085	Geschichte der Romanistik
IB 1100 - IB 1127	Romanische Sprachen
IB 1130 - IB 1200	Sprachgeschichte
IB 1220	Kontrastive Linguistik, Sprachvergleich
IB 1260 - IB 1380	Grammatik
IB 1400	Stilistik, Phraseologie
IB 1405	Textlinguistik
IB 1410	Konversationsanalyse
IB 1415	Diskursanalyse
IB 1420	Pragmatik (auch Höflichkeit, Diskursmarkierung, Partikelforschung)
IB 1425	Korpuslinguistik
IB 1430 - IB 1490	Wortkunde
IB 1496	Sprachgeografie
IB 1499	Übersetzungswissenschaft, Translation
IB 1501 - IB 4000	Romanische Literaturen
IB 4500 - IB 7950	Literaturgeschichte
ID	Französische Sprache und Literatur
ID 1000	Bibliografie
ID 1050	Enzyklopädie, Nachschlagewerke
ID 1100 - ID 1175	Landeskunde
ID 1216 - ID 1270	Geschichte
ID 1301	Nichtliterarische Texte (z.B. Bibeln, Gesetzessammlungen, Fachliteratur)
ID 1400	Einführungen, Handbücher, Prüfungsordnungen
ID 1450	Sammelwerke und Festschriften
ID 1500	Aufsatzsammlungen
ID 1502 - ID 1597	Didaktik
ID 1600 - ID 9800	Französische Sprache
IE	Französische Literatur i.A. und Französische Literatur im Mittelalter
IE 1000 - IE 3865	Französische Literatur
IE 3880 - IE 8955	Französische Literatur im Mittelalter
IF	Französische Literatur im 16. und 17. Jahrhundert
IF 1000 - IF 3849	Französische Literatur im 16. Jahrhundert
IF 4100 - IF 9139	Französische Literatur im 17. Jahrhundert
IG	Französische Literatur im 18. und 19. Jahrhundert
IG 1040 - IG 3000	Französische Literatur im 18. Jahrhundert
IG 3095 - IG 9900	Französische Literatur im 19. Jahrhundert
IH	Französische Literatur im 20. und 21. Jahrhundert
IH 1000 - IH 91900	Französische Literatur im 20. Jahrhundert
IH 92100 - IH 96000	Französische Literatur im 21. Jahrhundert
IJ	Französischsprachige Literatur außerhalb Frankreichs
IJ 10000 - IJ 10099	Übergreifend
IJ 20000 - IJ 20100	Belgien, Luxemburg
IJ 30000 - IJ 30100	Schweiz
IJ 40000 - IJ 40100	Kanada, USA
IJ 50000 - IJ 50100	Karibik
IJ 60000 - IJ 60100	Südostasien
IJ 70000 - IJ 70100	Nordafrika, Vorderer Orient (Libanon, Israel, Türkei, Iran)
IJ 80000 - IJ 99999.1	Subsaharisches Afrika
IK	Okzitanische Sprache und Literatur
IK 1000	Bibliografie
IK 1010	Enzyklopädie, Nachschlagewerke
IK 1030	Landeskunde
IK 1060	Geschichte
IK 1070	Kulturgeschichte
IK 1090	Nichtliterarische Texte
IK 1150	Einführungen, Handbücher
IK 1155	Sammelwerke und Festschriften
IK 1160	Aufsatzsammlungen
IK 1162 - IK 1180	Didaktik
IK 1190 - IK 3589	Okzitanische Sprache
IK 3650 - IK 4600	Okzitanische Literatur im allgemeinen
IK 4605 - IK 7770	Okzitanische Literatur im Mittelalter
IK 8030 - IK 9999.1	Okzitanische Literatur
IL	Katalanische Sprache und Literatur
IL 1000	Bibliografie
IL 1010	Enzyklopädie, Nachschlagewerke
IL 1030	Landeskunde
IL 1060	Geschichte, Sozial- und Kulturgeschichte
IL 1090	Nichtliterarische Texte (z.B. Bibeln, Gesetzessammlungen, Fachliteratur)
IL 1140	Einführungen, Handbücher
IL 1150	Sammelwerke, Festschriften, Aufsatzsammlungen
IL 1162 - IL 1180	Didaktik
IL 1200 - IL 3790	Katalanische Sprache
IL 3800 - IL 5190	Katalanische Literatur im allgemeinen
IL 5200 - IL 7799	Katalanische Literatur im Mittelalter
IL 7800 - IL 9999.1	Neukatalanische Literatur
IM	Spanische Sprache und Literatur
IM 1000	Bibliografie
IM 1050	Enzyklopädie, Nachschlagewerke
IM 1100 - IM 1175	Landeskunde
IM 1220 - IM 1270	Geschichte
IM 1299	Nichtliterarische Texte (z.B. Bibeln, Gesetzessammlungen, Fachliteratur)
IM 1400	Einführungen, Handbücher
IM 1450	Sammelwerke und Festschriften
IM 1460	Aufsatzsammlungen
IM 1490 - IM 1558	Didaktik
IM 1600 - IM 9980	Spanische Sprache
IN	Spanische Literatur i.A. und Spanische Literatur im Mittelalter
IN 0940 - IN 3875	Spanische Literatur im allgemeinen
IN 3880 - IN 8669	Spanische Literatur im Mittelalter
IO - IP	Spanische Literatur im 16. - 21. Jahrhundert
IO 1000 - IO 6900	Spanische Literatur im 16. und 17. Jahrhundert
IO 7000 - IO 9980	Spanische Literatur im 18. und 19. Jahrhundert
IP 1000 - IP 26000	Spanische Literatur im 20. und 21. Jahrhundert
IQ	Lateinamerikanische Literaturen
IQ 00001 - IQ 00025	Landeskunde und Geschichte
IQ 00035 - IQ 00067	Literaturwissenschaft
IQ 00070 - IQ 00105	Poetik, Dichtungs- und Literaturtheorie
IQ 00130 - IQ 00345	Literaturgeschichte und Interpretation
IQ 00350 - IQ 04490	Kuba
IQ 09000 - IQ 09990	Dominikanische Republik
IQ 10000 - IQ 10990	Puerto Rico
IQ 11000 - IQ 11150	Sonstige Antillen-Inseln
IQ 11160 - IQ 11195	USA (insbesondere Chicano-Literatur)
IQ 12000 - IQ 23990	Mexiko
IQ 24000 - IQ 24990	Guatemala
IQ 25000 - IQ 25990	El Salvador
IQ 26000 - IQ 26990	Honduras
IQ 27000 - IQ 27990	Nicaragua
IQ 28000 - IQ 28990	Costa Rica
IQ 29000 - IQ 29990	Panama
IQ 30000 - IQ 33990	Venezuela
IQ 37000 - IQ 43990	Kolumbien
IQ 44000 - IQ 48990	Ecuador
IQ 49000 - IQ 55990	Peru
IQ 56000 - IQ 60990	Bolivien
IQ 61000 - IQ 69990	Chile
IQ 70000 - IQ 70990	Paraguay
IQ 71000 - IQ 82990	Argentinien
IQ 83000 - IQ 87990	Uruguay
IQ 88000 - IQ 99990	Brasilien
IR	Portugiesische Sprache und Literatur
IR 1000	Bibliografie
IR 1020	Enzyklopädie, Nachschlagewerke
IR 1030 - IR 1070	Landeskunde und Geschichte
IR 1150	Einführungen, Handbücher
IR 1160	Festschriften
IR 1180	Kongressschriften u.ä.
IR 1190	Aufsatzsammlungen
IR 1191 - IR 1200	Didaktik
IR 1201 - IR 2799	Portugiesische Sprache
IR 2800 - IR 3605	Portugiesische Literatur im Allgemeinen
IR 3610 - IR 4790	Portugiesische Literatur im Mittelalter
IR 4800 - IR 5890	Portugiesische Literatur im 16. Jahrhundert
IR 5900 - IR 7090	Portugiesische Literatur im 17., 18. und 19. Jahrhundert
IR 7100 - IR 8195	Portugiesische Literatur im 20. Jahrhundert
IR 8201	Autoren des 21. Jahrhunderts (geb. ab 1975)
IR 8300 - IR 9999.1	Portugiesischsprachige Literatur im Subsaharischen Afrika und in Asien
IS - IV	Italienische Sprache und Literatur
IS 1000	Bibliografie
IS 1010	Enzyklopädie, Nachschlagewerke
IS 1030 - IS 1059	Landeskunde
IS 1060 - IS 1090	Geschichte
IS 1095	Nichtliterarische Texte (z.B. Bibeln, Gesetzessammlungen, Fachliteratur)
IS 1150	Einführungen, Handbücher
IS 1157	Kongressakten, Tagungsakten
IS 1160	Festschriften
IS 1161	Aufsatzsammlungen
IS 1200 - IS 1250	Didaktik
IS 1600 - IS 8955	Italienische Sprache
IT 1000 - IT 3700	Italienische Literatur im allgemeinen
IT 3750 - IT 7000	Italienische Literatur bis zum 14. Jahrhundert
IU 1000 - IU 5000	Italienische Literatur im 15. und 16. Jahrhundert
IU 5500 - IU 9950	Italienische Literatur im 17. und 18. Jahrhundert
IV 1000 - IV 2600	Italienische Literatur im 19. Jahrhundert
IV 2620 - IV 51280	Italienische Literatur im 20. Jahrhundert
IV 52000 - IV 62000	Italienische Literatur des 21. Jahrhunderts
IW 1000 - IW 3000	Sardische Sprache und Literatur
IW 1000	Bibliografie
IW 1010	Enzyklopädie, Nachschlagewerke
IW 1030	Landeskunde
IW 1060	Geschichte
IW 1150	Einführungen, Handbücher
IW 1160	Sammelwerke und Festschriften
IW 1200 - IW 2029	Sardische Sprache
IW 2200 - IW 3000	Sardische Literatur
IW 4000 - IW 9991	Rätoromanische Sprache und Literatur
IW 4000	Bibliografie
IW 4010	Enzyklopädie, Nachschlagewerke
IW 4030	Landeskunde
IW 4061	Geschichte
IW 4100	Einführungen, Handbücher
IW 4155	Sammelwerke und Festschriften
IW 4157	Aufsatzsammlungen
IW 4160	Nichtliterarische Texte (z.B. Bibeln, Gesetzessammlungen, Fachliteratur)
IW 4172 - IW 4190	Didaktik
IW 4200 - IW 5980	Rätoromanische Sprache
IW 6000 - IW 9991	Rätoromanische Literatur
IX	Rumänische Sprache und Literatur
IX 1000	Bibliografie
IX 1010	Enzyklopädie, Nachschlagewerke
IX 1030	Landeskunde
IX 1060	Geschichte
IX 1080	Sozial- und Kulturgeschichte
IX 1090	Nichtliterarische Texte (z.B. Bibeln, Gesetzessammlungen, Fachliteratur)
IX 1100	Einführungen, Handbücher
IX 1160	Sammelwerke und Festschriften
IX 1165	Aufsatzsammlungen
IX 1172 - IX 1190	Didaktik
IX 1191 - IX 2600	Rumänische Sprache
IX 3000 - IX 3995	Rumänische Literatur im allgemeinen
IX 4000 - IX 4999	Rumänische Literatur bis zum 18. Jahrhundert
IX 5000 - IX 8350	Rumänische Literatur im 19. und 20. Jahrhundert
IX 9000 - IX 9900	Rumänische Literatur im 21. Jahrhundert
IZ 7000 - IZ 9999	Galicische Sprache und Literatur
IZ 7000	Bibliografie
IZ 7010	Enzyklopädie, Nachschlagewerke
IZ 7020	Galicisch allgemein
IZ 7030	Landeskunde
IZ 7040	Geschichte
IZ 7050	Nichtliterarische Texte
IZ 7100	Einführungen, Handbücher
IZ 7110	Sammelwerke und Festschriften
IZ 7150 - IZ 7170	Didaktik
IZ 7200 - IZ 7999	Galicische Sprache
IZ 8000 - IZ 8999	Galicische Literatur
IZ 9000 - IZ 9998	Einzelne Autoren
K	Slawistik
KA 1000	Zeitschriften
KC 1000 - KC 2395	Enzyklopädien und Wörterbücher
KC 1000 - KC 1000	Allgemeines
KC 1050 - KC 1275	Enzyklopädien
KC 1400 - KC 2395	Wörterbücher
KC 3000 - KC 5010	Allgemeinslawisch
KC 3000 - KC 3003	Allgemeines
KC 3050 - KC 3055	Geschichte der Slawistik
KC 3200 - KC 3460	Slawische Vor- und Frühgeschichte
KC 3500 - KC 3530	Stammesgeschichte, Ethnogenese der Slawen
KC 3600 - KC 3605	Slawische Anthropologie
KC 4700 - KC 4850	Berührungen der Slawen mit anderen Völkern
KC 5000 - KC 5010	Geografie und Länderkunde
KD	Slawische Sprachen und Literaturen i.A.
KD 1000 - KD 1299	Slawische Philologie i.A.
KD 1350 - KD 1490	Urslawisch und Gemeinslawisch
KD 1550 - KD 3775	Vergleichende slawische Grammatik
KD 5000 - KD 8995	Slawische Literaturen i.A.
KE 1000 - KE 2010	Altkirchenslawisch
KE 1000	Allgemeines
KE 1100 - KE 1121	Slawenmission
KE 1150	Schreibung und Rechtschreibung der altkirchenslawischen Literaturdenkmäler
KE 1200 - KE 1765	Altkirchenslawische Grammatik
KE 1900 - KE 2010	Altkirchenslawisches Schrifttum
KE 5000 - KE 5700	Rusinisch
KE 5000 - KE 5045	Sprache
KE 5100 - KE 5700	Literatur
KF	Slawische Volksdichtung
KF 1000 - KF 1485	Slawische Volksdichtung i.a.
KF 1500 - KF 2250	Russische Volksdichtung
KF 2300 - KF 2820	Ukrainische Volksdichtung
KF 2850 - KF 3340	Weißrussische Volksdichtung
KF 3400 - KF 3930	Polnische Volksdichtung
KF 3950 - KF 4217	Elb- und ostseeslawische Volksdichtung
KF 4300 - KF 4750	Sorbische Volksdichtung
KF 4800 - KF 5305	Tschechische Volksdichtung
KF 5350 - KF 5810	Slovakische Volksdichtung
KF 5900 - KF 6410	Slovenische Volksdichtung
KF 6500 - KF 7235	Bosnische/Kroatische/Montenegrinische/Serbische (Serbokroatische) Volksdichtung
KF 7300 - KF 7910	Bulgarische Volksdichtung
KF 7950 - KF 8500	Makedonische Volksdichtung
KG - KK	Russische Sprache und Literatur
KG	Russisch(e Sprache)
KH 1000 - KH 2715	Russische Literatur
KH 3000 - KH 4600	Russische Literatur von den Anfängen bis ca. 1700 (vor Peter der Große) (incl. Russisch-Kirchenslawisch)
KH 5000 - KH 8000	Russische Literatur im 18. Jahrhundert
KI	Russische Literatur: Puskinzeit bis 1917
KK	Russische Literatur: 1917 bis Gegenwart
KL	Ukrainische Sprache und Literatur
KL 1000 - KL 2705	Ukrainische Sprache
KL 4000 - KL 9990	Ukrainische Literatur
KM	Weißrussische Sprache und Literatur
KM 1000 - KM 2605	Weißrussische Sprache
KM 4000 - KM 9999	Weißrussische Literatur
KN - KP	Polnische Sprache und Literatur
KN	Polnische Sprache
KO 1000 - KO 2470	Polnische Literatur
KO 2500 - KO 5850	Polnische Literatur von den Anfängen bis 1763
KO 6000 - KO 9820	Polnische Literatur: Aufklärung und Romantik (1764 - 1863)
KP	Polnische Literatur von 1864 bis zur Gegenwart
KQ	Sorbische Sprachen und Literaturen
KQ 1000 - KQ 3190	Sorbische Sprachen
KQ 4000 - KQ 7999	Sorbische Literatur
KQ 8000 - KQ 9596	Elb- und ostseeslawische Sprachen und Literaturen
KQ 8000	Allgemeines
KQ 8010 - KQ 8025	Sprachcharakteristik, vergleichende elb-und ostseeslawische Grammatik
KQ 8030 - KQ 8040	Lexikologie (Wortkunde)
KQ 8050 - KQ 8062	Sprachkontakt (Sprachberührungen, Spracheinflüsse)
KQ 8070 - KQ 8080	Dialektologie
KQ 8100 - KQ 8167	Namenkunde
KQ 8200 - KQ 8461	Dravänopolabisch
KQ 8500 - KQ 8806	Kaschubisch und Slovinzisch
KQ 8850 - KQ 9390	Kaschubisches Schrifttum und Literatur (außer Volksdichtung)
KQ 9400 - KQ 9596	Slawische Dialekte in Mecklenburg, Vorpommern, Brandenburg, Holstein und auf Rügen (Polabisch, Obotritisch, Rugisch, Wilzisch)
KR - KS	Tschechische Sprache und Literatur
KR	Tschechische Sprache
KS 1000 - KS 1720	Tschechische Literatur
KS 1750 - KS 2990	Tschechische Literatur von den Anfängen bis 1774
KS 3000 - KS 7460	Tschechische Literatur: Nationale Wiedergeburt bis 1945
KS 7500 - KS 9999	Tschechische Literatur von 1945 bis zur Gegenwart
KU	Slovakische Sprache und Literatur
KU 1000 - KU 2615	Slovakische Sprache
KU 4000 - KU 9999	Slovakische Literatur
KV 1000 - KV 3485	Bosnische/Kroatische/Montenegrinische/Serbische (Serbokroatische) Sprache
KV 1000 - KV 1004	Allgemeines
KV 1010 - KV 1025	Sprachcharakteristik
KV 1050 - KV 1100	Sprachpflege, Sprachnorm, Sprachpolitik
KV 1200 - KV 2080	Bosnische/Kroatische/Montenegrinische/Serbische (Serbokroatische) Gegenwartssprache
KV 2100 - KV 2770	Sprachgeschichte
KV 2800 - KV 2970	Namenkunde
KV 3000 - KV 3060	Sprachgeografie
KV 3100 - KV 3485	Dialektologie
KV 5000 - KV 5900	Jugoslawische Literatur
KV 5000	Allgemeines
KV 5010 - KV 5130	Grenzbereiche der literarischen Forschung
KV 5150 - KV 5245	Literaturwissenschaft
KV 5250 - KV 5720	Literaturgeschichte
KV 5730 - KV 5738	Literaturkritik
KV 5750 - KV 5900	Textsammlungen jugoslawischer Literatur
KW	Bosnische/Kroatische/Montenegrinische/Serbische (Serbokroatische) Literatur
KW 1000	Allgemeines
KW 1010 - KW 1050	Grenzbereiche der literarischen Forschung
KW 1070 - KW 1140	Literaturwissenschaft
KW 1150 - KW 1595	Literaturgeschichte
KW 1600 - KW 1607	Literaturkritik
KW 1615	Textsammlungen
KW 1750 - KW 3970	Bosnische/Kroatische/Montenegrinische/Serbische (Serbokroatische) Literatur von den Anfängen bis 1849
KW 4000 - KW 6990	Bosnische/Kroatische/Montenegrinische/Serbische (Serbokroatische) Literatur von 1850 bis 1944
KW 7000 - KW 9999	Bosnische/Kroatische/Montenegrinische/Serbische (Serbokroatische) Literatur von 1945 bis zur Gegenwart
KX	Slovenische Sprache und Literatur
KX 1000 - KX 2685	Slovenische Sprache
KX 4000 - KX 9999	Slovenische Literatur
KY - KZ 3999	Bulgaristik
KY 1000 - KY 2435	Bulgarisch(e Sprache)
KY 3000 - KY 3720	Bulgarische Literatur
KY 3750 - KY 4970	Bulgarische Literatur von den Anfängen bis 1844
KY 5000 - KY 9990	Bulgarische Literatur von 1845 bis 1945
KZ 1000 - KZ 3999	Bulgarische Literatur: 1945 bis Gegenwart
KZ 4000 - KZ 9999	Makedonische Sprache und Literatur
KZ 4000 - KZ 4725	Makedonische Sprache
KZ 6000 - KZ 9999	Makedonische Literatur
LA - LC	Ethnologie
LA 1000	Zeitschriften
LB 09000 - LB 14730	Bibliografien und Nachschlagewerke
LB 09000 - LB 09730	Adressbücher, Verzeichnisse
LB 10000 - LB 10730	Bibliografien
LB 11000 - LB 11730	Bibliothekskataloge
LB 12000 - LB 12730	Enzyklopädien, Lexika, Wörterbücher
LB 13000 - LB 13730	Atlanten, Karten, Bildbände
LB 14000 - LB 14730	Übergreifende Reihen und Serien
LB 15000 - LB 24730	Gesamtdarstellungen und Sammelwerke
LB 15000 - LB 15730	Allgemeine Aufsatzsammlungen
LB 15800	Gesamtausgaben einzelner Autoren
LB 16000 - LB 16730	Festschriften
LB 17000 - LB 17730	Feldforschungsberichte, Regionalstudien im Sinne ethnographischer Monografien
LB 18000 - LB 18730	Berichte von Expeditionen, Exkursionen, Reisen, populäre Darstellungen
LB 18800	Fiktionale Darstellungen der Ethnologie
LB 19000 - LB 19730	Berichte von Kongressen, Tagungen
LB 20000 - LB 20730	Museums- und Ausstellungskataloge
LB 21000 - LB 21730	Zusammenfassende Materialsammlungen, Statistiken
LB 23000 - LB 23730	Einführungen, Lehrbücher, Ausbildung
LB 24000 - LB 24730	Gesamtdarstellungen, einzelnes
LB 25000 - LB 29730	Forschungsgeschichte
LB 25000 - LB 25730	Allgemeines, Theoretisches, Zusammenfassendes
LB 26000 - LB 26730	Ideengeschichte
LB 27000 - LB 27730	Personengeschichte
LB 27800	Personengeschichte - Einzelne Wissenschaftler
LB 28000 - LB 28730	Institutionengeschichte
LB 29000 - LB 29730	Fachgrenzen und Verhältnis zu anderen Wissenschaften
LB 30000 - LB 31999	Theorie und Methodologie
LB 30000	Allgemeines, Zusammenfassendes
LB 31000	Methodologie und methoden-/theoriekritische Ansätze
LB 31800	Klassische ethnologische Ansätze
LB 31850	Kulturhistorische Ansätze
LB 31900	Interkulturelle und relativistische Ansätze
LB 31950	Psychologische Ansätze
LB 31960	Rassismus; Rassismusforschung
LB 31970	Biologistische Ansätze
LB 31999	Sonstige Richtungen
LB 32000 - LB 33999	Methoden und Techniken
LB 32000	Allgemeines, Zusammenfassendes
LB 33000	Sozialwissenschaftliche Methoden und Feldforschung
