notation	description
AL 45000 - AL 45900	Studentenwesen, allgemein
AL 46000 - AL 46950	Studentenschaft
AL 47000 - AL 48450	Soziales und Freizeit
AL 48500 - AL 49400	Studentische Vereinigungen
AL 49500 - AL 49700	Studentisches Brauchtum
AL 50000 - AL 99500	Hochschulwesen einzelner Länder und einzelne Hochschulen
AM	Schrift und Handschriftenkunde. Schriftarten und Schreiben
AM 10000 - AM 11950	Bibliografien, Sammelschriften
AM 12000 - AM 12700	Nachschlagewerke, Allgemeine Darstellungen
AM 13000 - AM 13800	Geschichte und Forschung
AM 14000 - AM 15000	Begriffs-, Wort- und Silbenschriften
AM 16000 - AM 17800	Orientalische Buchstabenschriften und Paläografie
AM 18000 - AM 21900	Abendländische Schriften
AM 22000 - AM 22800	Schönschrift, Schriftkunst
AM 23000 - AM 23900	Druckschriften
AM 24000 - AM 25400	Schreibmaschinenschrift
AM 26000 - AM 27500	Kurzschrift
AM 28000 - AM 28700	Spezialschriften
AM 29000 - AM 29400	Ziffernsysteme
AM 29500 - AM 29900	Zeichensysteme
AM 30000 - AM 34200	Schreibgerät, Beschreibstoffe
AM 40000 - AM 97400	Handschriftenkunde
AN	Buch- und Bibliothekswesen, Informationswissenschaft
AN 10000 - AN 12600	Bibliografien, Sammelschriften
AN 13000 - AN 13600	Nachschlagewerke, Allgemeine Darstellungen
AN 14000 - AN 49600	Buchwesen
AN 50000 - AN 89900	Bibliothekswesen
AN 90000 - AN 99990	Informationswissenschaft
AP	Medien- und Kommunikationswissenschaften, Kommunikationsdesign
AP 10000 - AP 11850	Bibliografien und Sammelschriften
AP 12000 - AP 12400	Organisationsform, Forschung
AP 12500 - AP 12910	Nachschlagewerke, Allgemeine Darstellungen
AP 13000 - AP 13400	Biografien, Geschichte
AP 13500 - AP 13950	Theorie und Methodik
AP 14000 - AP 14450	Beziehungen, Ausstrahlungen, Einwirkungen
AP 14500 - AP 14950	Mittel der Kommunikation
AP 15000 - AP 15860	Formen der Kommunikation und des Kommunikationsdesigns
AP 15900 - AP 15999	Computerunterstützte Kommunikation
AP 16000 - AP 16400	Aussagefunktion und Aussagegestaltung
AP 16500 - AP 16700	Publizistische Umfragetechnik
AP 16800 - AP 16900	Publizistische Beeinflussung
AP 17000 - AP 17120	Publikum, Empfänger
AP 17200 - AP 17580	Werbung, Propaganda
AP 17600 - AP 17780	Wirtschaft, Kosten
AP 17800 - AP 17960	Nachrichtenwesen
AP 18000 - AP 18600	Arten des Nachrichtenwesens, Medientechnik
AP 18800	Recht
AP 19000 - AP 19990	Kommunikation und Medienwesen in einzelnen Ländern
AP 20000 - AP 29800	Zeitungswissenschaft
AP 30000 - AP 39900	Rundfunk (Hörfunk und Fernsehen)
AP 40000 - AP 59900	Film
AP 60000 - AP 79900	Theater
AP 80000 - AP 88460	Tanz
AP 88500 - AP 89999	Comics und Comicforschung
AP 90000 - AP 99099	Fotografie
AP 99500 - AP 99920	Spiel und Freizeit
AR	Naturschutz und Umweltschutz
AR 10000 - AR 11700	Bibliografien, Sammelschriften
AR 11800 - AR 11950	Umweltorganisationen, Bildungseinrichtungen
AR 12000 - AR 12350	Nachschlagewerke, Allgemeine Darstellungen
AR 12400 - AR 12470	Umweltforschung
AR 12500 - AR 12610	Biografien, Geschichte
AR 12700 - AR 13999	Natur- und Landschaftsschutz, Landschaftspflege
AR 14000 - AR 14900	Umweltschutz, Umweltprobleme
AR 15000 - AR 15100	Bevölkerung
AR 16000 - AR 16100	Umwelt und Gesundheit
AR 17000 - AR 17300	Umwelt und Arbeit
AR 18000 - AR 18600	Boden
AR 19000 - AR 19620	Ernährung
AR 20000 - AR 20800	Pflanzenschutz
AR 21000 - AR 21900	Abfall
AR 22000 - AR 22700	Wasser
AR 23000 - AR 23900	Luft
AR 24000 - AR 24900	Lärm
AR 25000 - AR 25740	Chemische und physikalische Umwelteinflüsse
AR 26000 - AR 26640	Rohstoffe, Energie, Technik
AR 27000 - AR 27920	Raumordnung, Städtebau, Verkehr
AR 28000 - AR 28950	Umweltpolitik, Wirtschaft und Umwelt
AR 29000 - AR 29760	Umweltrecht
AR 30000 - AR 39900	Umweltschutz in einzelnen Ländern
AV	Sammelwerke aus verschiedenen Gebieten, Serien
AV 10000	Fest- und Gedenkschriften verschiedenen Inhalts für Personen
AV 10100	Fest- und Gedenkschriften verschiedenen Inhalts für Institutionen
AV 11000	Sammelschriften verschiedenen Inhalts
AV 13000	Sammlungen von Reden und Vorträgen
AV 14000	Briefsammlungen
AV 15000	Allgemeine Anthologien
AV 18000	Almanache von Verlagen (Indiv.-Sign.) (CSN)
AV 20000	Schriftenreihen verschiedenen Inhalts (alph., Indiv.-Sign.)
AV 40000	Universitäts- und Hochschulserien mit allgemein wissenschaftlichem Inhalt
AV 60000	Schulschriften Deutschland (Ortsalphabet)
AV 70000 - AV 79900	Schulschriften Ausland
AV 80000	Verlegerserien (alph., Indiv.-Sign.)
AV 90000	Serien von Taschenbüchern (alph., Indiv.-Sign.)
AW	Parlamentsschriften
AW 01000	Schriften internationaler Gremien
AW 06000	Europa
AW 60000	Asien, Orient, Östliche Welt
AW 70000	Afrika
AW 80000	Amerika, Indianische Welt
AW 90000	Ozeanien
AW 98000	Arktis
AW 99000	Antarktis
AX	Akademieserien, Periodika wissenschaftlicher Gesellschaften mit Akademiecharakter
AX 09000	Internationale Union der Akademien
AX 10000 - AX 19000	Deutschland
AX 20000 - AX 99000	Übrige Länder
AZ 10000	Allgemeine und fachübergreifende Zeitschriften, Zeitungen
B	Theologie und Religionswissenschaften
BA 1000	Zeitschriften und Jahrbücher
BB	Allgemeines zur Theologie
BB 1000 - BB 1270	Lexika
BB 1280 - BB 1290	Hilfsmittel
BB 1300 - BB 1340	Bibliografien
BB 1400 - BB 1490	Biografisch-bibliografische Nachschlagewerke
BB 1550 - BB 1790	Einführung in die Theologie
BB 1800 - BB 1844	Theologiegeschichte
BB 1850 - BB 9000	Sammelwerke
BC	Bibelwissenschaft
BC 1000 - BC 1230	Biblische Sprachen und allgemeine Hilfsmittel zum Bibelstudium
BC 1400 - BC 5100	Bibeltexte, Bibelkommentare und Abhandlungen
BC 6000 - BC 6260	Biblische Einleitung
BC 6500 - BC 7940	Biblische Theologie
BC 8000 - BC 8519	Die orientalische Umwelt der Bibel
BC 8700 - BC 8930	Israel und das biblische Palästina
BD	Judaistik
BD 1000 - BD 1895	Allgemeines
BD 2000 - BD 9560	Religions- und Kulturgeschichte der Juden
BE	Religionswissenschaft
BE 1000 - BE 1800	Allgemeines
BE 2000 - BE 3700	Systematische Religionswissenschaft (auch: Religionsphänomenologie)
BE 4000 - BE 9250	Religionsgeschichte
BF	Philosophie
BF 1000 - BF 1360	Allgemeines
BF 1400 - BF 1950	Philosophiegeschichte
BF 1980 - BF 7990	Quellen zur Philosophiegeschichte
BF 8000 - BF 9200	Systematische Philosophie
BG	Fundamentaltheologie
BG 1020 - BG 1950	Allgemeines
BG 2000 - BG 2980	Hermeneutik, Wissenschaftstheorie und Methodenlehre
BG 3000 - BG 3505	Atheismus
BG 3540 - BG 4210	Theologie und Naturwissenschaft
BG 4750 - BG 6640	Glaube
